Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.33176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972356,-1.32632,0.674806,-0.123446,0,0,0,0,0,0,0,0
1.33176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.466834,7.77085e-15,-0.0568546,0.112204,-0.532031,0.476,-0.123446,0,0,0,0,0,0,0,0
